Year,Event,Driver,Team,LapNumber,Stint,TyreLife,Compound,LapTime,Position,TrackTemp,AirTemp,FuelEstimate,RowID,NormalizedLap,LapInStint,BestLap,DeltaBestLap,FuelNorm
2024,Abu Dhabi Grand Prix,PIA,McLaren,43,3,11,HARD,88.052,12,31.8,26.8,34.4,33,0.362000000000009,9,87.69,0.362000000000009,0.317929759704251
2024,Abu Dhabi Grand Prix,PIA,McLaren,44,3,12,HARD,88.497,12,31.8,26.8,32.6,34,0.807000000000002,10,87.69,0.807000000000002,0.301293900184843
2024,Abu Dhabi Grand Prix,PIA,McLaren,45,3,13,HARD,90.015,12,31.8,26.8,30.8,35,2.325,11,87.69,2.325,0.284658040665434
2024,Abu Dhabi Grand Prix,PIA,McLaren,46,3,14,HARD,89.677,12,31.8,26.8,29,36,1.98700000000001,12,87.69,1.98700000000001,0.268022181146026
2024,Abu Dhabi Grand Prix,PIA,McLaren,47,3,15,HARD,89.671,12,31.8,26.8,27.2,37,1.98100000000001,13,87.69,1.98100000000001,0.251386321626617
2024,Abu Dhabi Grand Prix,PIA,McLaren,48,3,16,HARD,88.407,11,31.8,26.8,25.4,38,0.716999999999999,14,87.69,0.716999999999999,0.234750462107209
2024,Abu Dhabi Grand Prix,PIA,McLaren,49,3,17,HARD,87.928,11,31.8,26.8,23.6,39,0.238,15,87.69,0.238,0.2181146025878
2024,Abu Dhabi Grand Prix,PIA,McLaren,50,3,18,HARD,87.705,11,31.8,26.8,21.8,40,0.0150000000000006,16,87.69,0.0150000000000006,0.201478743068392
2024,Abu Dhabi Grand Prix,PIA,McLaren,51,3,19,HARD,87.69,11,31.8,26.8,20,41,0,17,87.69,0,0.184842883548983
2024,Abu Dhabi Grand Prix,PIA,McLaren,52,3,20,HARD,88.491,11,31.8,26.8,18.2,42,0.801000000000002,18,87.69,0.801000000000002,0.168207024029575
2024,Abu Dhabi Grand Prix,PIA,McLaren,53,3,21,HARD,88.168,10,31.8,26.8,16.4,43,0.478000000000009,19,87.69,0.478000000000009,0.151571164510166
2024,Abu Dhabi Grand Prix,PIA,McLaren,54,3,22,HARD,87.731,10,31.8,26.8,14.6,44,0.0409999999999968,20,87.69,0.0409999999999968,0.134935304990758
2024,Abu Dhabi Grand Prix,PIA,McLaren,55,3,23,HARD,87.781,10,31.8,26.8,12.8,45,0.0910000000000082,21,87.69,0.0910000000000082,0.118299445471349
2024,Abu Dhabi Grand Prix,PIA,McLaren,56,3,24,HARD,87.816,10,31.8,26.8,11,46,0.126000000000005,22,87.69,0.126000000000005,0.101663585951941
2024,Abu Dhabi Grand Prix,PIA,McLaren,58,3,26,HARD,88.01,10,31.8,26.8,7.4,47,0.320000000000007,23,87.69,0.320000000000007,0.0683918669131238
2024,Australian Grand Prix,PIA,McLaren,2,1,2,MEDIUM,83.232,5,38.4,20.6,108.2,48,3.033,1,82.581,0.650999999999996,1
2024,Australian Grand Prix,PIA,McLaren,3,1,3,MEDIUM,82.669,5,38.4,20.6,106.4,49,2.47,2,82.581,0.0879999999999939,0.983364140480592
