Driver,MAE
HAM,0.637770741128134
VER,0.640469831931233
HAD,0.649307131297538
TSU,0.6519115545892
STR,0.659949318926916
PIA,0.660156754757174
HUL,0.661520263551882
ANT,0.670257461752824
RUS,0.676727110075305
COL,0.677210710917754
SAI,0.68398569872179
BEA,0.685948809374477
LAW,0.695017354492597
BOR,0.700696172993196
NOR,0.714256538688836
OCO,0.715138454927652
GAS,0.715759749092832
LEC,0.738599885289917
ALO,0.773099394569638
DOO,0.839507121171084
ALB,0.88991950835641
